"COLLEX","O.CXN1","E.CXN1","O.CXN2","E.CXN2","ASSOC","COLL.STR.LOGL","SIGNIF","SHARED"
"study",18,2.7,14,29.3,"GOING_TO",47.85799,"*****","Y"
"bring",21,4.8,35,51.2,"GOING_TO",36.22001,"*****","Y"
"pick",6,0.6,1,6.4,"GOING_TO",24.04674,"*****","Y"
"visit",12,2.6,18,27.4,"GOING_TO",22.1332,"*****","Y"
"talk",16,4.4,36,47.6,"GOING_TO",21.34121,"*****","Y"
"die",4,0.4,1,4.6,"GOING_TO",14.89671,"***","Y"
"go",30,15.3,149,163.7,"GOING_TO",13.00771,"***","Y"
"start",12,3.9,34,42.1,"GOING_TO",12.50071,"***","Y"
"buy",10,3.7,33,39.3,"GOING_TO",8.5737,"**","Y"
"do",19,10,98,107,"GOING_TO",7.41865,"**","Y"
"live",11,4.9,46,52.1,"GOING_TO",6.53191,"*","Y"
"share",2,0.3,1,2.7,"GOING_TO",6.2117,"*","Y"
"wait",2,0.3,1,2.7,"GOING_TO",6.2117,"*","Y"
"tell",7,2.6,24,28.4,"GOING_TO",5.66939,"*","Y"
"stop",3,0.7,5,7.3,"GOING_TO",5.08772,"*","Y"
"happen",9,4.4,43,47.6,"GOING_TO",4.11047,"*","Y"
"take",12,6.7,66,71.3,"GOING_TO",3.94313,"*","Y"
"feel",2,7.6,87,81.4,"WILL",6.31227,"*","Y"
"become",1,7.2,83,76.8,"WILL",8.98118,"**","Y"
"make",7,18.2,206,194.8,"WILL",9.96348,"**","Y"
"find",2,10.6,122,113.4,"WILL",11.33046,"***","Y"
"have",12,33.3,378,356.7,"WILL",20.5942,"*****","Y"
"help",3,23.4,271,250.6,"WILL",31.1946,"*****","Y"
"be",77,126.3,1403,1353.7,"WILL",32.85242,"*****","Y"
